X,Y
13,18
69,72
100,45
9,38
40,79
50,69
94,38
60,100
71,12
58,47
52,78
26,70
48,86
92,47
94,76
97,68
5,27
40,82
51,72
27,80
7,26
49,12
68,21
13,43
84,55
18,19
63,80
10,2
56,8
83,99
59,20
87,65
67,61
81,57
12,21
3,66
99,95
4,10
97,30
87,1
80,92
4,91
68,84
18,71
94,33
67,83
100,65
54,90
11,10
35,64
46,57
78,12
3,4
21,11
35,17
28,91
17,45
30,65
54,44
24,30
29,96
76,35
51,36
73,90
74,50
6,80
14,12
79,65
1,6
57,45
9,97
72,49
54,62
11,2
29,12
20,62
68,59
29,42
66,58
58,73
30,56
39,58
66,29
81,28
82,61
61,52
83,29
91,29
61,86
54,93
90,66
26,93
75,23
15,45
60,88
92,50
3,94
18,79
84,69
27,19
73,7
21,3
29,27
99,22
53,94
54,73
7,36
30,33
24,56
88,33
15,90
11,27
72,41
45,14
49,28
25,46
69,50
8,7
81,90
79,97
61,70
62,75
71,66
41,19
7,69
39,46
64,11
21,12
35,40
2,70
74,93
2,44
70,48
36,77
68,75
48,25
76,80
67,43
48,95
52,65
85,55
89,64
14,82
4,35
40,93
81,13
75,27
4,95
27,89
55,96
32,61
96,12
24,100
60,78
88,5
27,31
81,17
64,54
76,98
87,4
4,49
36,98
72,84
95,98
100,31
52,50
80,63
74,94
85,8
60,100
13,10
72,3
16,72
10,50
91,67
57,100
66,39
43,88
52,13
60,67
49,4
19,99
46,83
64,34
65,40
90,7
75,16
86,53
96,24
100,81
3,61
73,66
12,30
93,78
34,41
21,32
31,7
49,41
32,21
5,26
18,3
4,83
69,59
92,22
35,5
93,37
1,50
5,80
6,71
34,8
84,48
72,70
73,5
95,39
99,1
25,81
86,25
88,22
9,37
24,89
72,19
79,79
83,9
53,29
49,54
12,59
42,91
96,55
39,80
52,36
80,26
76,11
81,38
10,25
27,86
100,97
3,66
37,53
50,36
70,61
10,15
30,83
59,5
11,12
2,51
7,81
97,44
58,81
73,89
18,40
34,6
63,70
52,57
32,58
23,71
78,44
14,81
51,82
66,3
71,45
7,50
64,23
68,94
96,26
65,7
100,11
82,5
42,99
63,9
91,70
81,39
65,12
8,72
2,41
19,50
88,38
22,80
45,69
76,34
91,44
51,14
99,8
9,18
18,9
8,69
79,35
36,85
7,37
41,81
28,7
53,70
73,4
29,85
40,75
42,94
67,60
18,88
18,68
17,32
10,13
47,50
8,46
83,89
24,38
21,69
43,13
19,6
25,21
21,73
88,56
58,23
80,54
48,84
56,89
70,55
92,74
61,91
86,33
11,14
10,26
11,53
64,79
46,45
51,1
52,39
98,25
99,9
4,68
60,19
71,73
8,19
87,93
83,44
15,2
77,84
22,40
25,8
93,13
64,47
23,25
52,36
87,23
90,70
9,66
75,80
40,71
48,33
36,23
4,99
38,52
49,34
59,74
26,5
47,10
85,78
55,55
72,1
19,52
49,3
68,66
41,49
94,34
69,43
22,18
66,61
38,97
33,84
72,67
67,93
81,87
3,4
22,34
68,83
33,32
53,25
69,65
74,59
24,8
30,89
79,58
50,68
91,94
4,75
55,24
69,79
45,73
10,1
93,79
57,68
94,47
15,34
42,71
38,69
65,54
66,5
77,78
25,65
93,24
95,91
51,89
55,59
81,86
82,42
9,3
38,68
46,94
18,26
53,18
20,5
37,17
25,59
98,97
22,99
93,52
58,40
10,86
23,89
40,68
76,100
64,81
23,53
79,11
63,94
13,30
32,98
92,14
43,12
27,4
20,39
68,77
83,7
78,79
92,22
81,30
77,80
62,27
63,3
9,71
52,23
60,89
25,78
85,57
75,42
67,45
22,33
62,48
86,28
13,59
18,47
98,62
61,37
42,53
49,37
33,4
35,40
81,62
98,24
1,34
52,32
95,93
29,10
5,53
57,35
42,31
41,91
83,35
43,100
94,67
32,30
1,93
70,48
38,88
7,15
21,50
50,95
86,71
66,15
76,6
91,90
39,78
75,51
95,50
71,63
11,34
18,86
63,50
87,75
78,94
84,31
77,95
84,97
51,54
76,95
61,39
33,64
89,42
4,51
42,33
25,13
45,73
64,2
20,40
95,39
48,45
37,49
80,47
49,81
68,81
42,4
14,9
46,97
28,1
95,29
12,63
66,72
93,89
99,85
68,34
53,91
41,73
5,96
53,37
7,67
85,62
38,66
48,60
85,67
9,50
95,14
73,81
69,61
21,46
84,1
55,61
63,51
82,47
16,97
32,42
98,8
91,22
87,94
52,27
96,66
20,84
55,97
98,50
86,88
20,4
45,70
86,44
13,78
41,79
93,90
81,70
1,84
84,59
20,67
62,83
69,60
82,43
2,56
79,79
30,32
39,97
7,22
61,87
57,9
58,51
27,13
42,25
61,38
41,24
60,1
15,19
19,78
1,79
49,14
23,91
97,58
6,26
61,23
68,62
25,52
81,32
11,63
23,78
75,76
82,49
5,93
24,66
32,47
12,80
75,13
96,82
25,37
27,24
32,29
38,3
93,15
44,68
81,68
33,11
80,12
30,18
45,4
92,94
7,18
91,10
15,53
30,33
9,22
8,25
25,5
77,97
19,1
33,34
75,53
36,75
2,15
23,68
63,53
35,71
17,3
7,21
26,36
83,8
65,65
40,27
97,57
17,37
43,8
45,35
13,69
58,85
79,61
36,71
23,52
1,68
94,99
94,89
25,40
32,53
39,69
38,45
98,48
74,2
19,87
24,68
2,66
90,63
81,88
86,92
87,54
72,19
44,25
19,87
100,21
44,35
81,60
64,26
14,83
85,33
4,72
61,60
74,88
39,21
81,1
38,65
11,62
66,80
34,58
20,14
100,95
9,69
50,20
36,94
85,85
16,66
19,58
61,69
77,46
50,35
59,50
45,32
13,2
50,68
39,67
27,69
16,5
100,55
25,14
35,24
47,82
67,75
50,53
2,43
62,57
100,43
7,64
12,81
27,46
92,73
16,68
3,70
45,65
83,44
59,67
65,17
77,84
36,27
80,16
65,75
11,72
67,50
4,47
20,29
42,62
54,73
4,66
83,83
19,3
44,86
2,69
29,81
18,57
2,6
54,55
74,2
22,17
77,20
34,45
67,10
43,73
91,61
29,85
64,24
69,85
98,34
84,96
91,92
43,23
32,34
97,27
36,74
6,32
19,77
55,28
74,3
82,60
18,39
20,66
70,97
32,98
38,6
40,71
23,76
53,77
62,48
57,40
68,26
70,63
37,12
69,16
30,4
24,13
81,66
76,65
81,41
23,30
58,60
44,26
48,35
64,38
58,61
52,53
93,37
25,58
74,12
10,22
38,27
24,88
29,50
9,14
21,49
27,25
25,50
95,17
56,54
98,86
96,55
53,55
27,83
84,5
78,83
69,94
3,44
49,42
41,67
46,71
98,34
61,40
41,6
82,96
55,65
26,58
18,71
7,50
88,84
5,2
52,62
49,60
30,58
57,67
15,91
39,74
35,37
3,45
11,60
9,65
93,15
78,29
71,27
90,51
22,41
34,93
14,24
90,36
16,100
95,10
82,46
53,50
58,6
2,100
17,44
27,79
68,31
14,63
99,57
4,63
49,100
17,46
57,58
60,21
34,22
78,99
83,48
98,25
71,22
36,64
22,79
49,61
75,16
12,76
65,14
76,17
27,44
90,19
59,51
44,49
12,10
52,57
71,92
88,75
1,44
11,24
31,41
61,81
40,94
49,8
74,68
15,20
36,14
23,10
3,64
35,93
71,64
40,71
24,75
54,67
34,54
5,29
15,98
1,75
59,33
12,15
61,97
48,55
42,47
56,48
60,4
88,54
53,76
54,33
100,70
20,19
2,71
8,66
52,65
62,10
45,67
80,67
90,81
36,65
33,44
88,83
39,98
97,96
85,30
78,41
29,33
80,82
20,100
74,23
59,93
90,24
84,19
69,62
34,56
22,46
63,98
93,35
81,51
84,1
70,10
20,75
31,79
73,55
13,58
35,73
36,41
45,24
67,83
23,73
16,79
37,87
76,42
86,26
65,46
64,25
5,29
43,98
15,70
10,93
57,4
2,4
60,3
93,72
9,56
55,40
72,68
50,53
91,25
5,39
17,73
6,62
17,84
72,8
35,85
47,13
23,40
73,62
100,72
96,19
29,42
89,86
79,99
68,46
70,58
28,50
76,26
14,19
17,56
54,21
72,80
79,72
94,38
80,79
47,71
4,14
49,55
32,89
28,87
82,5
57,53
56,69
97,90
40,49
35,62
43,62
76,27
99,92
71,32
24,11
67,32
63,17
27,47
55,8
29,51
52,14
60,26
7,2
24,6
78,45
12,39
19,63
37,53
49,95
91,75
20,22
42,15
98,20
92,34
29,26
20,70
13,93
90,2
79,26
34,12
58,15
11,76
1,85
90,49
42,57
4,79
45,87
20,6
28,91
82,97
27,94
99,8
84,66
21,14
24,99
95,92
88,2
17,66
34,90
94,2
97,88
55,44
33,70
35,20
28,23
1,73
85,46
13,53
80,88
3,29
23,26
42,16
35,29
30,94
73,1
40,44
60,67
53,38
3,5
94,10
38,22
81,14
25,55
83,82
94,45
41,42
76,75
55,98
55,8
42,59
58,60
73,45
19,3
4,85
93,22
51,51
63,81
2,88
5,63
58,3
14,50
34,92
77,47
4,76
45,50
61,91
2,51
55,7
49,55
95,94
72,58
34,13
51,79
69,75
23,62
87,39
94,62
39,29
92,33
16,36
43,39
31,1
45,78
86,32
11,93
85,17
49,59
49,91
69,90
37,56
46,72
92,49
38,60
76,47
15,31
85,50
43,38
25,36
50,10
91,12
97,58
76,89
45,44
65,35
69,25
37,70
95,92
56,25
91,32
24,14
28,40
9,91
34,17
52,74
32,55
78,94
99,77
30,23
2,54
35,97
48,53
35,2
89,75
38,16
33,91
55,31
4,72
43,91
3,81
59,52
19,99
14,38
81,24
2,82
33,2
60,87
16,79
31,92
73,93
68,78
57,68
31,76
87,81
59,35
11,60
59,64
86,47
41,39
52,64
7,48
25,50
50,21
93,13
52,85
49,46
40,8
44,46
27,32
47,11
19,61
68,34
69,37
21,27
41,64
46,80
59,74
63,8
97,32
98,70
12,39
95,89
61,2
60,76
2,1
54,44
23,48
95,76
24,59
94,50
16,5
10,55
27,20
36,84
57,18
96,51
18,70
8,87
59,31
13,95
35,22
42,61
11,90
58,3
6,80
9,38
61,65
61,29
34,3
15,61
64,13
99,91
67,68
49,23
99,28
67,8
21,91
86,9
78,8
61,33
30,80
62,73
9,96
61,20
88,36
16,20
10,85
79,70
7,89
52,47
92,47
41,7
92,6
84,8
76,51
86,7
41,54
20,69
13,98
28,6
52,81
72,54
38,63
87,70
19,100
77,45
4,93
70,84
10,100
61,34
35,16
88,58
35,83
80,60
41,52
12,76
75,27
51,93
10,43
72,66
18,27
13,30
80,28
30,66
51,46
43,13
41,50
64,44
15,24
17,83
7,49
18,25
43,39
4,37
65,11
5,11
90,4
90,36
6,28
2,63
73,43
70,56
93,100
46,56
1,58
70,26
22,21
90,80
2,93
52,16
22,47
32,8
40,59
18,96
17,84
46,35
51,2
40,84
63,90
18,69
13,34
40,88
96,99
93,64
22,64
90,49
53,74
68,84
93,40
59,56
52,67
2,53
73,98
82,2
50,84
74,35
7,37
56,39
3,35
83,6
40,60
60,3
94,14
44,38
60,77
4,84
33,92
3,69
64,98
84,30
28,21
42,56
74,17
45,23
86,99
45,43
99,40
35,44
10,34
98,62
12,12
44,13
68,13
10,65
64,80
11,31
11,1
76,55
52,94
37,51
95,27
82,90
5,50
46,88
19,20
2,2
41,85
65,99
5,72
33,83
99,26
59,65
84,66
99,55
36,35
48,58
42,44
46,19
39,29
39,98
48,49
80,71
40,98
100,30
11,43
96,10
55,38
79,9
66,75
23,39
24,29
53,9
64,9
84,93
46,52
44,12
30,66
1,72
82,37
64,5
65,8
53,69
69,25
53,23
48,93
17,23
32,29
90,8
77,7
96,65
12,89
29,6
18,92
42,60
53,78
35,30
41,57
57,8
93,45
62,46
93,7
46,83
34,12
71,82
48,3
67,92
55,87
51,42
8,15
67,64
18,22
15,65
10,56
42,53
74,7
86,35
79,4
18,17
78,86
100,83
62,51
73,41
39,57
92,16
93,16
55,3
16,28
49,30
49,42
12,21
100,22
82,10
14,31
34,32
25,60
37,77
25,99
100,62
61,19
92,92
92,11
92,67
17,62
100,85
53,95
92,8
50,76
84,52
73,95
9,90
82,14
14,12
58,41
83,63
56,35
14,11
89,93
43,28
100,92
35,44
51,28
96,14
7,41
10,91
11,99
75,61
35,97
99,77
17,48
93,50
81,19
5,67
60,96
20,14
97,98
30,59
35,67
65,70
75,96
21,51
88,41
39,15
76,84
68,71
1,73
41,81
54,28
89,46
69,52
67,37
16,42
33,46
13,30
42,15
30,89
13,40
2,7
10,8
19,6
90,53
75,4
89,34
65,36
63,58
44,63
50,52
27,9
56,72
75,1
57,38
16,70
60,51
18,67
21,49
29,96
22,44
92,42
99,54
99,37
2,92
43,64
76,6
40,100
69,46
98,33
54,15
75,49
94,7
33,50
83,13
82,55
93,72
12,51
9,25
9,59
36,69
31,11
55,93
66,82
8,15
73,23
28,54
72,45
84,51
88,12
70,10
60,59
65,46
21,41
88,88
62,88
10,16
29,69
4,99
46,45
59,49
54,88
36,35
28,58
3,51
31,50
8,11
41,4
75,80
3,74
97,70
90,77
54,79
31,79
83,96
52,96
27,44
42,51
83,98
85,59
65,62
6,96
49,34
76,96
50,35
75,27
79,85
15,12
6,58
16,16
51,48
34,64
91,84
74,1
26,3
65,94
87,80
2,74
9,69
79,7
58,43
60,96
49,66
52,95
23,64
20,28
9,80
5,11
41,56
64,74
60,35
13,9
90,57
46,36
78,86
31,84
13,67
41,85
26,5
6,60
40,32
70,35
100,9
63,34
43,49
56,50
24,69
66,21
66,25
99,35
86,39
52,12
12,70
42,21
93,40
62,17
65,3
94,94
90,57
31,84
13,18
36,93
95,19
30,81
76,87
63,21
86,76
69,95
25,14
31,36
65,1
5,61
95,45
34,94
89,36
31,73
90,65
96,39
77,29
27,79
95,21
43,64
80,17
84,42
77,43
13,32
25,37
87,46
12,40
32,25
42,98
92,72
9,12
91,10
3,43
42,82
73,39
14,34
39,54
23,52
78,100
83,87
25,18
72,56
93,99
8,49
95,11
59,22
13,9
21,49
49,75
32,100
10,48
25,14
13,37
81,18
87,6
87,69
65,76
97,72
7,66
89,31
37,42
70,39
34,14
85,35
37,5
8,66
4,11
19,74
65,56
55,96
67,90
62,64
75,90
71,71
6,69
98,86
18,95
42,4
66,80
27,60
98,67
3,48
30,98
50,53
48,68
29,98
64,15
85,77
24,63
66,64
65,88
92,42
16,85
99,51
19,54
45,38
38,54
63,38
6,42
12,14
19,72
84,11
85,20
75,95
8,75
48,84
45,35
37,4
77,100
38,61
67,89
63,54
53,14
67,52
100,81
41,62
50,7
97,39
5,42
73,37
26,79
99,24
5,10
13,66
74,12
25,32
72,6
55,83
48,57
62,75
23,47
36,80
73,22
56,25
32,51
65,22
11,9
71,59
77,30
60,98
70,21
56,100
54,89
97,8
52,94
58,38
17,8
25,13
42,80
3,77
97,68
89,94
61,13
4,62
59,63
40,26
60,88
3,61
59,98
19,98
47,4
33,63
10,65
57,82
17,4
43,13
86,55
43,21
76,48
100,65
67,91
20,96
86,76
94,31
20,61
55,5
64,39
20,78
90,30
40,41
65,28
4,44
78,56
15,42
27,26
66,48
76,50
64,57
3,29
67,74
42,98
42,45
15,6
28,68
95,32
68,86
79,100
86,98
7,28
20,34
54,81
74,14
9,56
94,39
52,4
28,5
85,96
98,62
98,26
19,74
90,99
85,91
35,57
40,12
26,41
87,43
33,81
43,34
4,62
39,48
24,64
22,32
21,15
11,24
28,45
18,21
15,82
57,70
53,96
99,24
57,83
11,70
83,7
66,85
28,6
26,34
3,60
1,51
95,40
92,7
51,80
70,15
74,51
47,79
29,64
69,13
91,23
5,45
1,73
8,39
89,63
76,55
30,32
20,70
48,31
67,33
34,47
72,80
45,62
81,89
37,32
55,68
28,52
64,30
9,41
83,71
14,23
30,96
71,1
41,86
50,59
37,95
7,57
81,72
52,19
23,68
28,37
31,53
61,93
33,25
72,12
82,90
93,1
45,41
40,99
58,82
38,34
24,58
28,8
1,28
43,21
96,25
51,43
41,51
17,99
11,27
69,23
71,100
90,53
9,86
1,72
91,22
95,76
53,93
19,83
54,66
12,44
26,59
47,64
26,20
21,81
14,13
82,10
12,55
35,6
51,15
39,74
64,13
89,57
85,55
77,69
69,21
6,3
94,64
13,11
56,61
23,80
97,23
25,34
23,37
80,58
31,78
30,26
31,49
84,63
66,63
15,15
88,64
42,76
46,73
63,48
40,18
9,84
83,6
90,81
86,62
72,87
36,49
4,34
17,52
16,86
96,64
70,54
98,49
14,58
82,55
80,38
22,35
55,40
53,65
14,43
5,17
4,15
24,76
15,80
80,63
24,29
55,42
86,8
82,12
66,34
79,57
19,25
9,19
62,32
44,57
16,36
71,92
36,27
78,68
27,8
38,62
34,3
86,81
29,72
52,94
74,67
50,92
71,31
58,52
76,87
72,3
78,36
15,96
24,41
88,91
50,19
32,29
32,75
37,71
14,67
57,5
27,71
35,54
23,50
30,85
30,37
35,74
83,79
87,94
6,70
45,58
87,70
27,59
25,44
44,19
29,89
62,76
66,73
50,99
4,12
38,65
8,47
1,39
67,63
28,33
34,49
92,47
76,88
78,94
6,56
8,23
57,64
13,37
57,98
52,72
76,89
28,67
90,40
14,97
71,47
56,21
12,10
76,99
72,3
98,88
95,40
42,25
90,18
20,32
33,39
53,46
68,85
36,100
46,46
18,11
92,97
50,5
82,54
58,13
69,63
54,81
77,38
17,9
58,46
12,91
33,74
92,64
53,92
23,77
26,10
18,30
89,23
74,91
49,92
93,2
44,16
19,24
31,46
56,80
48,67
14,9
71,64
20,100
19,9
66,9
50,41
13,37
91,71
21,37
62,85
87,59
37,51
50,97
64,55
60,53
47,75
53,60
42,8
89,98
94,68
91,98
47,11
25,51
5,62
28,36
8,95
20,1
8,88
48,7
79,38
61,21
53,24
76,38
9,13
33,25
26,100
39,64
45,75
9,91
72,91
41,11
59,20
64,80
84,13
74,80
86,78
11,91
53,35
67,77
91,96
2,8
70,40
47,67
31,91
11,81
93,82
33,87
83,32
26,78
36,60
48,13
74,99
86,17
17,28
64,24
81,32
85,46
62,24
85,32
97,38
41,95
8,1
98,2
59,61
21,32
100,99
20,15
75,19
49,60
55,41
40,30
68,73
61,74
27,6
46,5
5,32
52,2
88,25
28,10
28,61
84,66
14,76
35,73
35,62
97,37
18,53
67,2
9,24
1,85
47,40
84,33
81,26
43,16
88,9
78,50
62,88
46,64
49,83
74,87
53,72
55,47
99,10
56,92
15,52
3,67
63,15
21,89
69,88
22,21
10,91
62,98
95,39
43,97
37,9
75,93
74,25
73,9
85,75
48,26
61,79
39,51
10,30
36,67
33,17
61,88
60,64
32,25
63,91
24,95
3,92
62,19
70,90
25,98
9,15
88,53
86,55
87,30
31,89
39,12
39,50
41,85
47,83
79,59
40,78
67,4
99,42
55,78
67,68
5,98
95,20
72,46
94,92
23,23
92,59
98,54
86,57
23,21
5,36
33,69
57,97
99,21
17,68
95,37
79,13
51,5
24,65
73,70
20,58
27,8
6,15
11,32
24,3
80,32
20,64
75,51
43,63
5,24
6,88
19,85
11,98
28,41
20,7
46,69
6,25
9,39
77,73
24,28
91,2
55,86
58,78
98,5
91,86
85,5
51,96
58,3
96,90
22,58
3,19
12,94
97,8
39,54
40,99
17,15
81,35
9,13
17,90
32,36
68,72
74,85
70,50
32,51
79,33
37,58
55,47
51,4
53,25
9,86
42,10
63,92
92,6
74,60
12,62
50,75
74,79
57,5
89,42
2,17
91,37
69,3
1,27
12,40
34,34
62,70
61,98
6,65
58,57
27,61
50,40
78,85
14,32
38,87
88,61
31,25
3,16
64,62
40,25
12,89
12,57
92,32
47,14
22,78
78,93
3,85
28,49
96,59
51,70
55,44
89,56
42,57
54,54
92,47
61,56
43,10
46,73
52,12
90,3
86,89
35,62
6,21
69,62
70,92
57,88
100,71
9,26
70,6
19,13
30,92
60,12
72,16
75,24
88,36
65,92
21,70
85,81
99,38
47,45
70,44
59,62
77,100
64,70
51,77
99,56
12,75
89,10
11,49
46,40
41,25
36,65
36,40
60,63
33,23
34,67
27,41
75,82
54,51
42,33
70,78
88,73
32,23
7,7
88,26
79,64
44,36
58,47
15,94
49,100
14,24
71,99
17,68
41,94
70,62
43,67
30,97
94,73
16,18
24,4
9,23
2,19
43,40
40,77
70,2
22,62
53,7
95,26
53,92
77,82
69,65
43,60
100,12
45,11
40,56
29,78
70,92
56,88
20,73
39,85
48,43
31,34
88,90
5,10
1,4
94,63
32,20
71,93
22,68
32,32
100,2
71,29
15,67
97,56
95,79
37,61
39,90
8,32
54,38
75,19
42,52
76,78
18,5
68,98
57,5
14,64
89,80
39,55
41,50
54,39
41,97
4,95
18,9
27,94
43,15
25,65
47,41
99,39
54,77
23,32
14,18
56,40
63,13
85,94
41,54
100,15
6,14
73,24
34,86
27,49
96,94
75,57
75,83
95,86
37,21
64,16
43,8
83,60
76,94
63,26
65,13
35,69
18,46
24,99
21,48
65,32
47,52
41,33
37,66
54,73
33,41
92,33
28,87
66,15
81,35
46,21
53,45
72,63
29,38
18,94
15,60
44,87
87,49
64,82
85,94
87,26
89,19
25,7
99,96
32,81
61,4
46,83
26,60
51,95
96,88
76,79
18,11
64,95
7,68
5,81
76,13
64,47
70,12
47,9
43,31
60,5
100,93
23,43
11,18
34,49
22,39
95,61
86,15
65,8
27,31
100,73
41,33
39,40
33,87
22,93
26,82
16,25
42,26
17,45
95,54
2,75
80,45
46,40
19,25
8,28
14,15
59,24
96,61
6,95
40,45
65,5
72,49
86,11
84,84
98,18
94,47
79,12
38,55
39,22
31,1
56,16
35,14
60,31
90,100
36,44
91,96
45,64
39,7
74,62
34,59
31,75
59,47
33,69
36,2
82,6
22,35
50,39
20,95
26,3
61,94
64,34
52,25
53,73
26,37
28,18
31,43
9,5
29,33
42,41
10,12
35,28
61,71
31,99
81,26
39,53
40,24
75,9
67,68
100,55
44,92
42,31
46,4
21,47
96,88
93,32
20,96
48,53
14,26
88,63
26,69
40,9
53,20
10,27
68,36
41,81
35,59
66,11
45,54
51,55
84,36
21,52
49,84
30,36
33,45
70,49
49,22
30,62
21,5
78,53
72,81
2,36
65,54
64,70
17,70
18,34
1,84
85,19
97,11
84,99
17,1
39,84
44,65
35,37
17,21
34,2
46,86
91,25
33,35
29,15
43,9
78,76
11,40
85,68
7,92
26,23
51,30
88,31
19,53
23,63
14,41
47,87
18,9
99,42
11,89
12,78
46,75
41,10
82,14
16,14
39,15
9,21
29,50
76,78
16,45
26,100
63,32
33,80
54,72
59,84
57,91
6,89
57,95
42,37
75,99
35,44
74,18
62,1
62,56
85,55
72,3
48,44
36,36
80,26
28,29
73,4
46,75
94,10
42,34
59,55
59,43
71,82
79,100
59,18
60,73
61,70
10,56
37,7
50,21
33,93
44,39
63,97
23,16
23,57
7,84
43,7
70,29
43,17
40,84
2,48
18,55
9,68
92,33
12,93
6,73
73,71
60,21
32,50
94,18
99,47
23,57
66,26
62,93
26,41
36,50
33,33
8,38
78,29
93,87
43,66
84,57
46,50
57,55
6,46
100,70
23,1
24,41
81,31
30,24
6,87
6,73
63,10
12,9
33,79
52,46
81,38
2,49
36,53
13,94
34,9
93,78
84,63
95,5
21,39
77,77
47,35
26,31
18,32
99,10
72,100
90,17
48,85
77,41
76,9
1,75
52,26
6,56
85,74
45,35
84,16
3,66
76,18
83,16
93,33
34,78
23,21
91,53
46,19
95,16
94,48
6,73
28,60
20,91
86,54
16,98
13,84
30,25
91,65
49,70
